id	initialCash	openingTime	status	createdAt	updatedAt	UserId	SalesDayId	authorizedById
1	10.00	2026-02-25 04:15:22	closed	2026-02-25 04:15:22	2026-02-25 04:29:57	2	4	NULL
2	10.00	2026-02-25 04:22:32	closed	2026-02-25 04:22:32	2026-02-25 04:38:51	2	2	NULL
3	10.00	2026-02-25 04:30:45	closed	2026-02-25 04:30:45	2026-02-25 04:34:03	2	4	NULL
4	10000.00	2026-02-25 04:34:20	closed	2026-02-25 04:34:20	2026-02-25 04:34:56	2	4	NULL
5	5000.00	2026-02-25 04:35:04	closed	2026-02-25 04:35:04	2026-02-25 04:35:52	2	3	NULL
6	0.00	2026-02-25 04:39:04	closed	2026-02-25 04:39:04	2026-02-25 04:39:32	2	4	NULL
7	0.00	2026-02-25 04:39:35	closed	2026-02-25 04:39:35	2026-02-25 04:40:16	2	4	NULL
8	0.00	2026-02-25 04:40:21	closed	2026-02-25 04:40:21	2026-02-25 04:43:51	2	4	NULL
9	0.00	2026-02-25 13:10:58	closed	2026-02-25 13:10:58	2026-02-25 21:28:53	2	3	NULL
10	0.00	2026-02-25 13:11:25	closed	2026-02-25 13:11:25	2026-02-25 17:35:12	2	2	NULL
11	0.00	2026-02-25 13:16:25	authorized	2026-02-25 13:16:25	2026-02-25 13:16:25	2	4	NULL
12	0.00	2026-02-25 18:56:02	closed	2026-02-25 18:56:02	2026-02-25 19:37:20	2	2	NULL
13	0.00	2026-02-25 20:13:57	closed	2026-02-25 20:13:57	2026-02-25 20:14:26	2	2	NULL
14	0.00	2026-02-25 20:15:10	closed	2026-02-25 20:15:10	2026-02-25 20:36:54	2	2	NULL
15	0.00	2026-02-25 20:37:56	closed	2026-02-25 20:37:56	2026-02-25 21:10:08	2	2	NULL
16	10000.00	2026-02-25 21:10:43	closed	2026-02-25 21:10:43	2026-02-25 21:13:25	2	2	NULL
17	0.00	2026-02-25 21:30:44	closed	2026-02-25 21:30:44	2026-02-25 21:31:04	2	2	NULL
18	0.00	2026-02-25 21:31:36	closed	2026-02-25 21:31:36	2026-02-26 04:53:50	2	3	NULL
19	0.00	2026-02-26 19:58:12	closed	2026-02-26 19:58:12	2026-02-26 22:43:14	2	2	NULL
20	0.00	2026-02-26 19:58:51	closed	2026-02-26 19:58:51	2026-02-26 19:59:09	2	3	NULL
